Museum,Num,Subspecies,Sex,Locality,region,Type,Island,lat,long,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL
BMNH,40.365,T. m. humeralis,m,"Anci Kloof, W. Sumatra",W,,Sumatra,-0.75,100.31,,,17.43,12.04,,18.1,,,13.91,,,,,,22.3,14.08,,10.66,6.5,2.4,,16.43
BMNH,40.366,T. m. humeralis,f,"Anci Kloof, W. Sumatra",W,,Sumatra,-0.75,100.31,34.87,34.44,17.98,12.22,,19.04,,14.68,14.03,11.72,,16.83,37.73,33.7,23.35,14.58,9.7,10.2,6.34,2.57,26.61,16.91
BMNH,40.368,T. m. humeralis,m,"Padang Pandjang, W. Sumatra",W,,Sumatra,-0.46,100.39,35.51,34.78,17.84,12.52,,20,,14.5,14.77,11.97,,16.9,37.72,34.36,23.85,15.89,9.39,10.82,6.77,2.3,26.76,16.56
BMNH,40.369,T. m. humeralis,m,"Padang Pandjang, W. Sumatra",W,,Sumatra,-0.46,100.39,34.97,34.75,17.95,12.27,,18.74,,15.05,14.49,11.58,20.78,,,34.5,23.2,14.28,,11.54,7.59,2.87,26.45,16.4
BMNH,40.37,T. m. humeralis,m,"Padang Pandjang, W. Sumatra",W,,Sumatra,-0.46,100.39,38.81,38.14,20.63,14.06,,21.75,,15.61,,,,,41.64,37.86,26.54,17.44,10.67,12.01,7.65,2.79,29.96,19.5
BMNH,40.372,T. m. humeralis,f,"Padang Pandjang, W. Sumatra",W,,Sumatra,-0.46,100.39,33.41,33.15,17.18,11.98,,18.33,,14.38,13.63,12.04,,16.23,36.3,32.79,,13.61,9.08,10.46,6.49,2.12,24.85,15.46
BMNH,47.1497,T. m. caedis,f,"Balambangan Island, North Borneo",Balambangan,Holotype,Balambangan,7.27,116.93,33.9,33.44,17.22,12.19,,18.48,,13.73,14.02,11.11,18.98,16.74,36.56,33.18,22.67,14.24,9.01,10.7,7.04,2.11,25.8,16.48
BMNH,55.1227,T. m. malaccana,f,"Tonjong Antu, Dindings",W,,Malay Peninsula,4.26,100.61,34.42,34.1,18.02,12.56,,18.84,,14.79,14.09,11.21,20.31,16.35,37.08,34,22.84,14.22,9.38,10.72,6.67,2.5,25.87,16.49
BMNH,55.1408,T. m. malaccana,f,"Batu, Selangor, Malaysia",W,,Malay Peninsula,2.71,101.55,,,,,,17.24,,,,11.01,,,,,21.08,13.2,,10.18,,,,
BMNH,55.1409,T. m. malaccana,m,"Cheras, Selangor, Malaysia",W,,Malay Peninsula,3.07,101.77,,,18.18,12.28,,18.94,,,14.32,11.71,,,,,22.65,14.12,,10.86,6.71,2.39,25.43,16.32
